id,line,station
1,1,Бульвар Рокоссовского
2,1,Черкизовская
3,1,Преображенская площадь
4,1,Сокольники
5,1,Красносельская
6,1,Комсомольская
7,1,Красные Ворота
8,1,Чистые пруды
9,1,Лубянка
10,1,Охотный Ряд
11,1,Библиотека имени Ленина
12,1,Кропоткинская
13,1,Парк культуры
14,1,Фрунзенская
15,1,Спортивная
16,1,Воробьёвы горы
17,1,Университет
18,1,Проспект Вернадского
19,1,Юго-Западная
20,2,Речной вокзал
21,2,Водный стадион
22,2,Войковская
23,2,Сокол
24,2,Аэропорт
25,2,Динамо
26,2,Белорусская
27,2,Маяковская
28,2,Тверская
29,2,Театральная
30,2,Новокузнецкая
31,2,Павелецкая
32,2,Автозаводская
33,2,Коломенская
34,2,Каширская
35,2,Кантемировская
36,2,Царицыно
37,2,Орехово
38,2,Домодедовская
39,2,Красногвардейская
40,3,Щёлковская
41,3,Первомайская
42,3,Измайловская
43,3,Партизанская
44,3,Семёновская
45,3,Электрозаводская
46,3,Бауманская
47,3,Курская
48,3,Площадь Революции
49,3,Арбатская
50,3,Смоленская
51,3,Киевская
52,3,Парк Победы
53,3,Славянский бульвар
54,3,Кунцевская
55,3,Молодёжная
56,3,Крылатское
57,3,Строгино
58,4,Кунцевская
59,4,Пионерская
60,4,Филёвский парк
61,4,Багратионовская
62,4,Фили
63,4,Кутузовская
64,4,Студенческая
65,4,Киевская
66,4,Смоленская
67,4,Арбатская
68,4,Александровский сад
69,4,Выставочная
70,4,Международная
71,5,Парк культуры
72,5,Октябрьская
73,5,Добрынинская
74,5,Павелецкая
75,5,Таганская
76,5,Курская
77,5,Комсомольская
78,5,Проспект Мира
79,5,Новослободская
80,5,Белорусская
81,5,Краснопресненская
82,5,Киевская
83,6,Медведково
84,6,Бабушкинская
85,6,Свиблово
86,6,Ботанический сад
87,6,ВДНХ
88,6,Алексеевская
89,6,Рижская
90,6,Проспект Мира
91,6,Сухаревская
92,6,Тургеневская
93,6,Китай-город
94,6,Третьяковская
95,6,Октябрьская
96,6,Шаболовская
97,6,Ленинский проспект
98,6,Академическая
99,6,Профсоюзная
100,6,Новые Черёмушки
101,6,Калужская
102,6,Беляево
103,6,Коньково
104,6,Тёплый Стан
105,6,Ясенево
106,6,Новоясеневская
107,7,Планерная
108,7,Сходненская
109,7,Тушинская
110,7,Щукинская
111,7,Октябрьское Поле
112,7,Полежаевская
113,7,Беговая
114,7,Улица 1905 года
115,7,Баррикадная
116,7,Пушкинская
117,7,Кузнецкий Мост
118,7,Китай-город
119,7,Таганская
120,7,Пролетарская
121,7,Волгоградский проспект
122,7,Текстильщики
123,7,Кузьминки
124,7,Рязанский проспект
125,7,Выхино
126,8,Новогиреево
127,8,Перово
128,8,Шоссе Энтузиастов
129,8,Авиамоторная
130,8,Площадь Ильича
131,8,Марксистская
132,8,Третьяковская
133,9,Алтуфьево
134,9,Бибирево
135,9,Отрадное
136,9,Владыкино
137,9,Петровско-Разумовская
138,9,Тимирязевская
139,9,Дмитровская
140,9,Савёловская
141,9,Менделеевская
142,9,Цветной бульвар
143,9,Чеховская
144,9,Боровицкая
145,9,Полянка
146,9,Серпуховская
147,9,Тульская
148,9,Нагатинская
149,9,Нагорная
150,9,Нахимовский проспект
151,9,Севастопольская
152,9,Чертановская
153,9,Южная
154,9,Пражская
155,9,Улица Академика Янгеля
156,9,Аннино
157,9,Бульвар Дмитрия Донского
158,10,Трубная
159,10,Сретенский бульвар
160,10,Чкаловская
161,10,Римская
162,10,Крестьянская Застава
163,10,Дубровка
164,10,Кожуховская
165,10,Печатники
166,10,Волжская
167,10,Люблино
168,10,Братиславская
169,10,Марьино
170,11,Каширская
171,11,Варшавская
172,11,Каховская
173,12,Улица Старокачаловская
174,12,Улица Скобелевская
175,12,Бульвар Адмирала Ушакова
176,12,Улица Горчакова
177,12,Бунинская аллея
178,3,Мякинино
179,3,Волоколамская
180,3,Митино
181,10,Марьина Роща
182,10,Достоевская
183,10,Борисово
184,10,Шипиловская
185,10,Зябликово
186,8,Новокосино
187,2,Алма-Атинская
188,3,Пятницкое шоссе
189,7,Лермонтовский проспект
190,7,Жулебино
191,12,Битцевский парк
192,12,Лесопарковая
193,8,Шелепиха
194,8,Парк Победы
195,7,Спартак
196,1,Тропарёво
197,7,Котельники
198,2,Технопарк
199,1,Румянцево
200,1,Саларьево
201,14,Ботанический сад
202,14,Владыкино
203,14,Окружная
204,14,Лихоборы
205,14,Коптево
206,14,Балтийская
207,14,Стрешнево
208,14,Панфиловская
209,14,Зорге
210,14,Хорошёво
211,14,Шелепиха
212,14,Деловой центр
213,14,Кутузовская
214,14,Лужники
215,14,Площадь Гагарина
216,14,Крымская
217,14,Верхние Котлы
218,14,ЗИЛ
219,14,Автозаводская
220,14,Дубровка
221,14,Угрешская
222,14,Новохохловская
223,14,Нижегородская
224,14,Андроновка
225,14,Шоссе Энтузиастов
226,14,Соколиная гора
227,14,Измайлово
228,14,Локомотив
229,14,Бульвар Рокоссовского
230,14,Белокаменная
231,14,Ростокино
232,10,Бутырская
233,10,Фонвизинская
234,10,Петровско-Разумовская
235,8,Минская
236,8,Ломоносовский проспект
237,8,Раменки
238,15,Деловой центр
239,15,Шелепиха
240,15,Хорошёвская
241,15,ЦСКА
242,15,Петровский парк
243,8,Хорошёвская
244,8,ЦСКА
245,8,Петровский парк
246,2,Ховрино
247,10,Окружная
248,10,Верхние Лихоборы
249,10,Селигерская
